no,dev-id,alias,channel,mac_address,alias_info
21,ATK00162A842CBC,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink |Solihin H2/23",GOTV-Basic Lokal & International,00:16:2a:84:2c:bc,Interlink |Solihin H2/23
36,ATK00162A83648E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senayan 38-1",Provisioning,00:16:2a:83:64:8e,IBS P. Bidadari | Cottage Senayan 38-1
32,ATK00162A83648C,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senayan 38-3",Provisioning,00:16:2a:83:64:8c,IBS P. Bidadari | Cottage Senayan 38-3
19,ATK00162A842C77,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Riki H1/19",GOTV-Basic Lokal & International,00:16:2a:84:2c:77,Interlink|Riki H1/19
17,ATK00162A842C90,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Maulana H2/22",GOTV-Basic Lokal & International,00:16:2a:84:2c:90,Interlink|Maulana H2/22
27,ATK00162A8364D3,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:64:d3,IBS P. Bidadari
15,ATK00162A842DF9,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Fani H2/8",GOTV-Basic Lokal & International,00:16:2a:84:2d:f9,Interlink|Fani H2/8
18,ATK00162A842CA4,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink Cyber",GOTV-Basic Lokal & International,00:16:2a:84:2c:a4,Interlink Cyber
14,ATK00162A842C8E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Ahmad H2/26",GOTV-Basic Lokal & International,00:16:2a:84:2c:8e,Interlink|Ahmad H2/26
20,ATK00162A842CB1,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink | Candra H1/14",GOTV-Basic Lokal & International,00:16:2a:84:2c:b1,Interlink | Candra H1/14
11,ATK00162A842DA2,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Andi G3/11",GOTV-Basic Lokal & International,00:16:2a:84:2d:a2,Interlink|Andi G3/11
25,ATK00162A842C6F,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Fadila H4/8",GOTV-Basic Lokal & International,00:16:2a:84:2c:6f,Interlink|Fadila H4/8
13,ATK00162A842DEA,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Guruh E16/9",GOTV-Basic Lokal & International,00:16:2a:84:2d:ea,Interlink|Guruh E16/9
12,ATK00162A842DE5,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Wahyu G6/10",GOTV-Basic Lokal & International,00:16:2a:84:2d:e5,Interlink|Wahyu G6/10
7,ATK00162A842DFC,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink Cyber",GOTV-Basic Lokal & International,00:16:2a:84:2d:fc,Interlink Cyber
